player_positions,long_name,overall,age,height_cm,club_name,league_name,skill_dribbling,pace,shooting,passing,dribbling,defending,physic,preferred_foot,goalkeeping_diving
CB,Douglas Tharme,62,23,190,Blackpool,League One,39,58.0,22.0,40.0,43.0,62.0,72.0,Right,5
ST,Néstor Andrés Jiménez Ramírez,62,20,175,Caracas,Primera Division,67,65.0,62.0,49.0,65.0,24.0,49.0,Right,10
CM,Dewar Steven Victoria Palacios,62,22,176,Millonarios,Liga BetPlay,64,54.0,52.0,58.0,65.0,45.0,50.0,Right,11
"LB, LWB",Tuomas Ollila,62,23,173,HJK,Veikkausliiga,58,79.0,57.0,59.0,61.0,55.0,57.0,Left,6
"LB, CB",Pedro Souto,62,23,178,Banfield,Liga Profesional,59,70.0,37.0,47.0,58.0,59.0,53.0,Left,9
ST,Antony Vásquez,62,21,178,Rionegro Águilas,Liga BetPlay,57,59.0,64.0,53.0,61.0,26.0,61.0,Right,14
CDM,Wilken Samir Ramírez Holguin,62,21,170,Estudiantes Mérida,Primera Division,43,58.0,37.0,52.0,54.0,59.0,60.0,Right,12
RB,Mateo Argüello Santoro,62,20,178,Danubio,Primera Division,57,67.0,35.0,51.0,58.0,61.0,56.0,Right,14
CB,Gustavo David Vargas Areco,62,21,181,Guaraní,Primera División,56,57.0,25.0,41.0,57.0,60.0,68.0,Right,13
"CDM, CB",Dieudonné Gaucho Debohi,62,22,185,Caen,Ligue 2,61,59.0,55.0,58.0,58.0,64.0,67.0,Right,12
"LB, LM",Gonzalo Valdivia,62,22,178,Platense,Liga Profesional,66,64.0,61.0,57.0,64.0,61.0,64.0,Left,14
"CM, CDM",Erdis Kraja,62,22,181,Ascoli,Serie B,62,61.0,46.0,60.0,61.0,60.0,61.0,Right,6
CAM,Tino Blaž Lauš,62,22,183,Hajduk Split,1. HNL,64,73.0,51.0,58.0,64.0,39.0,61.0,Right,14
"RW, LW",Bubacarr Jammeh,62,22,175,Estrela Amadora,Liga Portugal,65,73.0,60.0,53.0,65.0,30.0,58.0,Right,11
"CDM, CB",Gökhan Gül,62,24,180,Kasımpaşa,Super Lig,55,61.0,29.0,50.0,58.0,63.0,62.0,Right,12
LB,Jake Vokins,62,23,180,Southampton,Championship,62,68.0,45.0,51.0,61.0,58.0,58.0,Left,6
"LWB, LB, CDM",Tariq Uwakwe,62,23,183,Swindon Town,League Two,57,72.0,50.0,54.0,57.0,56.0,63.0,Left,10
"ST, RW",Joshua Akinola Ogunfaolu-Kayode,62,23,191,Carlisle United,League One,62,73.0,60.0,52.0,60.0,23.0,67.0,Right,11
CB,Joseph Olugbenga Olowu,62,23,184,Doncaster Rovers,League Two,47,73.0,32.0,42.0,51.0,61.0,69.0,Right,12
"RW, ST",Moussa Guel,62,24,171,Dunkerque,Ligue 2,67,85.0,57.0,47.0,67.0,26.0,50.0,Right,8
"LW, ST, RW",전세진 Jin Woo Jeon,62,23,181,Suwon Bluewings,K League 1,67,83.0,56.0,53.0,64.0,33.0,53.0,Right,6
CB,Niklas Kastenhofer,62,24,185,VfB Lübeck,3. Liga,50,67.0,28.0,43.0,51.0,62.0,63.0,Right,10
CB,Sam Sherring,62,23,188,Northampton Town,League One,41,64.0,29.0,39.0,46.0,62.0,69.0,Right,11
"LM, RM, ST",Samuel Abifade,62,23,186,Waldhof Mannheim,3. Liga,67,85.0,49.0,52.0,66.0,23.0,65.0,Left,10
ST,Chinedu Ekene,62,23,180,MSV Duisburg,3. Liga,58,68.0,60.0,47.0,59.0,29.0,72.0,Right,5
CM,Alfie John McCalmont,62,23,175,Carlisle United,League One,62,66.0,58.0,59.0,66.0,56.0,62.0,Right,7
"LM, ST",Carlo Armiento,62,24,175,Brisbane Roar,A-League,61,75.0,61.0,58.0,63.0,43.0,58.0,Left,6
CB,Harrison James Holgate,62,23,186,Fleetwood Town,League One,44,61.0,25.0,39.0,48.0,62.0,69.0,Right,7
"ST, RM",Eric Hottmann,62,23,187,Jahn Regensburg,3. Liga,60,64.0,59.0,53.0,60.0,26.0,70.0,Right,14
"RWB, RB",Jayden Richardson,62,22,184,Stockport County,League Two,67,84.0,40.0,48.0,65.0,55.0,65.0,Right,5
LM,Jacky Donkor,62,24,176,Excelsior,Eredivisie,69,85.0,54.0,51.0,68.0,26.0,41.0,Right,7
RB,Nathangelo Alexandro Markelo,62,24,182,Fortuna Sittard,Eredivisie,58,60.0,43.0,54.0,60.0,60.0,68.0,Right,12
"LM, ST",Kusini Yengi,62,24,189,Portsmouth,League One,65,83.0,59.0,52.0,64.0,29.0,76.0,Right,5
"CM, CDM",Jake Cain,62,21,176,Swindon Town,League Two,60,64.0,57.0,60.0,64.0,58.0,59.0,Left,8
"RM, CM",Lucas Daniel Sanabria Brítez,62,23,175,Libertad,Primera División,66,66.0,51.0,56.0,64.0,50.0,55.0,Right,7
GK,Lucas Paes Souza,62,25,196,Casa Pia,Liga Portugal,12,,,,,,,Right,59
CB,Aaron Manu,62,23,194,Rot-Weiss Essen,3. Liga,36,60.0,32.0,38.0,42.0,61.0,72.0,Right,6
CM,Dean Cornelius,62,22,176,Harrogate Town,League Two,61,70.0,48.0,62.0,64.0,57.0,59.0,Right,15
"RM, LM",Dragoș Sebastian Tescan,62,23,180,Universitatea Cluj,Liga 1,61,74.0,48.0,57.0,63.0,26.0,51.0,Right,11
GK,Mihai Alexandru Eşanu,62,24,188,Petrolul 52,Liga 1,14,,,,,,,Right,64
GK,Doğukan Özkan,62,23,185,Antalyaspor,Super Lig,12,,,,,,,Right,62
CB,Mario Šuver,62,23,185,Borussia Dortmund II,3. Liga,42,66.0,26.0,43.0,47.0,64.0,64.0,Right,6
"CM, CAM",Luca Herrmann,62,24,176,Dynamo Dresden,3. Liga,58,66.0,52.0,68.0,63.0,49.0,63.0,Right,6
"ST, RW",Jacob Wakeling,62,21,178,Peterborough United,League One,61,80.0,60.0,50.0,63.0,21.0,63.0,Left,12
"CM, CDM",Je Ho Yu,62,22,178,Suwon Bluewings,K League 1,58,55.0,47.0,59.0,62.0,50.0,62.0,Right,8
"LM, CM",Clément Billemaz,62,24,175,Annecy,Ligue 2,66,80.0,61.0,57.0,65.0,42.0,52.0,Left,6
"CDM, CM",Kevin Felida,62,23,172,RKC Waalwijk,Eredivisie,56,64.0,47.0,56.0,58.0,60.0,63.0,Right,10
LWB,Benjamin Böckle,62,21,185,Preußen Münster,3. Liga,55,69.0,34.0,49.0,56.0,59.0,68.0,Left,8
"RM, RWB, RB",Brian Jepthe Bayeye,62,23,182,Ascoli,Serie B,60,74.0,50.0,59.0,60.0,55.0,66.0,Right,12
GK,Gonçalo Filipe Jesus Pinto,62,23,194,Chaves,Liga Portugal,6,,,,,,,Right,64
LW,Axel Urie,62,24,180,Concarneau,Ligue 2,71,74.0,59.0,52.0,66.0,26.0,52.0,Right,7
"CDM, CM",Pedro Nuno Almeida Pinho,62,23,187,Chaves,Liga Portugal,60,59.0,43.0,55.0,60.0,60.0,66.0,Right,12
"RM, RB",Loide Augusto,62,23,185,Alanyaspor,Super Lig,61,66.0,59.0,59.0,61.0,56.0,54.0,Right,6
GK,Antonis Tsiftsis,62,23,191,Raków Częstochowa,Ekstraklasa,11,,,,,,,Right,68
"LW, ST",Nökkvi Þórisson,62,23,188,Saint Louis City,Major League Soccer,64,69.0,65.0,53.0,62.0,28.0,58.0,Left,6
CB,Robbie Deas,62,23,188,Kilmarnock,Premiership,51,58.0,32.0,45.0,55.0,62.0,61.0,Left,6
"CB, CDM",Mamadou Doucouré,62,25,183,Borussia Mönchengladbach,Bundesliga,48,50.0,31.0,49.0,53.0,62.0,59.0,Left,12
"CB, RB",Jhohan Sebastián Romaña Espitia,62,24,185,Olimpia,Primera División,30,53.0,26.0,49.0,41.0,61.0,68.0,Right,5
"LW, LM",Liam Burt,62,24,173,Shamrock Rovers,Premier Division,67,75.0,57.0,57.0,66.0,36.0,50.0,Right,14
CB,Giuseppe Cuomo,62,25,190,Südtirol,Serie B,42,58.0,28.0,42.0,44.0,63.0,65.0,Right,12
"CM, CDM",Dennis Emmanuel Abiodun Adeniran,62,24,180,Portimonense,Liga Portugal,60,70.0,57.0,57.0,62.0,62.0,71.0,Right,8
GK,Edward McGinty,62,23,194,Oxford United,League One,19,,,,,,,Left,63
GK,Jun Lee,62,25,188,Gwangju,K League 1,19,,,,,,,Right,65
"CB, RB",Tyler Jordan Magloire,62,24,185,Northampton Town,League One,43,89.0,27.0,38.0,49.0,60.0,71.0,Right,5
"ST, CAM",Torben Müsel,62,23,185,Rot-Weiss Essen,3. Liga,66,67.0,61.0,57.0,65.0,28.0,55.0,Right,13
GK,Nicolas Schmid,62,26,195,Blau-Weiß Linz,Bundesliga,14,,,,,,,Right,59
ST,Tyler Smith,62,24,177,Bradford City,League Two,62,78.0,60.0,47.0,64.0,28.0,59.0,Right,15
"CB, RB",Awn Mutlaq Al Slaluli,62,24,195,Al Taawon,Pro League,30,66.0,38.0,41.0,36.0,62.0,69.0,Right,12
CM,Simon Amin,62,25,182,Sandefjord,Eliteserien,62,67.0,44.0,60.0,64.0,53.0,63.0,Right,5
"ST, LM",Haroune Camara,62,25,187,Al Ittihad,Pro League,61,84.0,59.0,50.0,59.0,21.0,72.0,Right,5
"ST, LW",Callum Damian Peter Morton,62,23,178,Forest Green Rovers,League Two,60,81.0,60.0,52.0,62.0,35.0,66.0,Right,14
CB,Malte Karbstein,62,25,190,Waldhof Mannheim,3. Liga,43,65.0,36.0,42.0,47.0,62.0,70.0,Left,7
GK,Timon Moritz Weiner,62,24,191,Holstein Kiel,2. Bundesliga,24,,,,,,,Right,63
CM,Cameron MacPherson,62,24,173,St. Johnstone,Premiership,61,70.0,57.0,61.0,63.0,58.0,69.0,Right,7
"CDM, CM",Ryan Stirk,62,22,178,Walsall,League Two,58,71.0,52.0,59.0,60.0,58.0,69.0,Left,9
"ST, LM, CAM",Mouhamed Menaour Belkheir,62,24,185,Fortuna Sittard,Eredivisie,67,72.0,59.0,53.0,65.0,29.0,69.0,Left,12
"CAM, CM, RM",Jack Richard Lankester,62,23,177,Cambridge United,League One,62,75.0,58.0,60.0,63.0,43.0,58.0,Left,14
"LM, RM",Amar Ćatić,62,24,178,Wehen Wiesbaden,2. Bundesliga,62,87.0,55.0,56.0,61.0,28.0,61.0,Right,7
"LB, LWB",Rafael Lucas Cardoso dos Santos,62,25,180,Orlando City,Major League Soccer,63,67.0,43.0,47.0,56.0,61.0,60.0,Left,6
"RB, RM, LB",迪力穆拉提·毛拉尼牙孜,62,25,169,Henan,Super League,55,81.0,49.0,51.0,61.0,53.0,62.0,Right,6
CB,Tom Grivosti,62,24,187,St Patrick's,Premier Division,42,60.0,39.0,43.0,45.0,61.0,70.0,Right,6
ST,Luca Pandolfi,62,25,186,Cittadella,Serie B,64,66.0,60.0,57.0,62.0,36.0,65.0,Right,12
RB,Sylian Aldren Mokono,62,24,188,Heracles Almelo,Eredivisie,51,75.0,31.0,49.0,57.0,59.0,68.0,Right,9
"LB, LM",Anton Kralj,62,25,164,Hammarby,Allsvenskan,62,71.0,34.0,51.0,65.0,56.0,47.0,Left,8
"ST, RM, CAM",Alan Martín Cantero,62,25,184,Barracas Central,Liga Profesional,60,63.0,62.0,50.0,61.0,26.0,62.0,Right,10
"LB, RB",Sanousi Mohammed Al Hawsawi,62,25,172,Damac,Pro League,61,89.0,30.0,47.0,61.0,51.0,78.0,Right,8
CB,Patrick Nwadike,62,24,190,Sirius,Allsvenskan,55,56.0,36.0,50.0,55.0,60.0,73.0,Right,13
"LWB, CB",Vegard Kongsro,62,24,187,HamKam,Eliteserien,56,75.0,41.0,53.0,59.0,55.0,62.0,Left,5
"CDM, CM",Nicholas Pennington,62,24,182,Wellington Phoenix,A-League,56,56.0,51.0,57.0,56.0,59.0,67.0,Right,11
"CM, LM",Francisco Javier Alvarez Rodríguez,62,25,178,Widzew Lodz,Ekstraklasa,60,59.0,60.0,64.0,62.0,46.0,50.0,Right,12
"CAM, CM, CF",Timur Gayret,62,24,176,Hallescher FC,3. Liga,65,69.0,56.0,58.0,64.0,41.0,57.0,Left,10
"LWB, RWB, CB",Florian Bohnert,62,25,183,Bastia,Ligue 2,57,77.0,40.0,54.0,59.0,57.0,63.0,Right,10
CB,Fredrik Tobias Berglie,62,26,184,Sandefjord,Eliteserien,36,59.0,26.0,40.0,44.0,63.0,65.0,Right,12
"LW, RW, LM",Manuel Vicuña,62,23,167,Magallanes,Primera Division,64,73.0,55.0,61.0,64.0,33.0,63.0,Right,8
CDM,Mauricio Eduardo Serrano,62,26,179,Palmaflor del Trópico,Liga De Futbol Prof,52,53.0,35.0,57.0,54.0,57.0,62.0,Right,7
CB,Andreas Karamanolis,62,21,183,APOEL,1. Division,37,62.0,41.0,56.0,45.0,61.0,67.0,Right,14
ST,Jannik Mause,62,24,188,Ingolstadt,3. Liga,58,75.0,61.0,52.0,58.0,45.0,68.0,Right,15
CM,Tarik Gözüsirin,62,21,176,VfB Lübeck,3. Liga,66,70.0,58.0,64.0,66.0,51.0,65.0,Right,8
"LW, LM, CAM",Jackson Kenio Santos Laurentino,62,24,178,İstanbulspor,Super Lig,73,70.0,66.0,52.0,66.0,31.0,49.0,Right,10
GK,Morten Sætra,62,26,198,Strømsgodset,Eliteserien,27,,,,,,,Right,62
GK,James Anthony Talbot,62,26,180,Bohemians,Premier Division,20,,,,,,,Left,62
LB,Matthew Colin Foulds,62,25,178,Harrogate Town,League Two,52,69.0,26.0,53.0,57.0,60.0,69.0,Left,7
ST,George Miller,62,25,178,Doncaster Rovers,League Two,59,83.0,61.0,51.0,61.0,37.0,75.0,Right,10
"CF, CAM",伊藤 涼太郎,62,25,174,Sint-Truiden,Jupiler Pro League,67,81.0,52.0,54.0,66.0,40.0,64.0,Right,12
"CM, CAM, LM",Isaac David Christie-Davies,62,25,188,AS Eupen,Jupiler Pro League,60,61.0,55.0,61.0,62.0,55.0,70.0,Right,10
CB,Paul Kalambayi,62,23,183,AFC Wimbledon,League Two,38,64.0,26.0,41.0,45.0,61.0,74.0,Right,10
GK,张岩,62,26,188,Chengdu Rongcheng,Super League,19,,,,,,,Right,63
GK,Oscar Thore Hedvall,62,24,195,Midtjylland,Superliga,14,,,,,,,Left,66
"RW, LWB, LB",Clarke Oduor,62,24,176,Bradford City,League Two,66,77.0,50.0,57.0,65.0,57.0,58.0,Left,13
CB,John Mahon,62,23,186,Sligo Rovers,Premier Division,50,58.0,33.0,45.0,50.0,60.0,75.0,Right,9
"CDM, CM",Alfie Lewis,62,23,176,Dundalk,Premier Division,62,61.0,57.0,61.0,65.0,57.0,61.0,Right,12
"CM, CAM",Luke Philip McCormick,62,24,180,Bristol Rovers,League One,62,73.0,56.0,62.0,64.0,54.0,66.0,Right,10
CB,William Smith,62,24,184,Harrogate Town,League Two,40,65.0,26.0,40.0,46.0,61.0,72.0,Right,7
GK,Lukas Watkowiak,62,27,197,St. Gallen,Super League,10,,,,,,,Right,60
"CB, LWB",胡睿宝,62,26,185,Chengdu Rongcheng,Super League,50,71.0,30.0,47.0,55.0,61.0,67.0,Left,12
"RW, CAM",Milan Corryn,62,24,180,Almere City,Eredivisie,63,68.0,61.0,62.0,63.0,49.0,64.0,Right,10
GK,Aidan Thomas Stone,62,23,186,Notts County,League Two,11,,,,,,,Right,61
"CM, CDM",Lee Patrick O'Connor,62,22,178,Tranmere Rovers,League Two,62,70.0,53.0,60.0,64.0,61.0,69.0,Right,12
"CM, CDM, CAM",Anirudh Thapa,62,25,169,ATK Mohun Bagan,Super League,61,66.0,52.0,62.0,65.0,54.0,64.0,Right,9
"CAM, CM",Isaac Hutchinson,62,23,185,Walsall,League Two,62,73.0,60.0,60.0,63.0,54.0,69.0,Right,5
"CB, RB",Udoka Favour Godwin-Malife,62,23,180,Swindon Town,League Two,55,75.0,32.0,52.0,57.0,61.0,69.0,Right,11
ST,Andrew Robert Dallas,62,23,178,Kilmarnock,Premiership,61,81.0,61.0,46.0,60.0,28.0,60.0,Right,10
"ST, LW",Vegard Østraat Erlien,62,25,183,Tromsø,Eliteserien,59,72.0,61.0,56.0,61.0,31.0,58.0,Right,7
ST,Max Mata,62,22,186,Shrewsbury Town,League One,58,72.0,61.0,48.0,58.0,24.0,72.0,Left,6
CB,Gustav Granath,62,26,191,Degerfors,Allsvenskan,28,65.0,27.0,51.0,41.0,61.0,66.0,Right,7
"CDM, CM",Lucas Maciel Felix,62,23,170,New England,Major League Soccer,58,58.0,34.0,53.0,60.0,62.0,57.0,Right,9
GK,Filip Dujmović,62,24,191,Dinamo Bucureşti,Liga 1,7,,,,,,,Right,62
ST,Görkem Bitin,62,25,190,Pendikspor,Super Lig,58,52.0,62.0,46.0,57.0,28.0,69.0,Left,13
"LM, RW, ST",Levonte Johnson,62,24,178,Vancouver Whitecaps,Major League Soccer,67,73.0,61.0,52.0,64.0,42.0,68.0,Right,11
CB,Khusniddin Alikulov,62,24,182,Rizespor,Super Lig,36,63.0,31.0,44.0,47.0,63.0,61.0,Right,12
GK,Dejan Iliev,62,28,195,HJK,Veikkausliiga,13,,,,,,,Right,64
GK,Daniele Sommariva,62,25,185,Genoa,Serie A,13,,,,,,,Right,64
"LB, LWB",Anthony Breslin,62,26,179,St Patrick's,Premier Division,55,72.0,44.0,51.0,56.0,57.0,69.0,Left,12
"CAM, LM",Harrison James Chapman,62,25,172,Bradford City,League Two,64,72.0,58.0,61.0,67.0,30.0,60.0,Right,14
"RB, LB",Moussa Diallo,62,26,184,Servette,Super League,59,66.0,43.0,54.0,61.0,59.0,67.0,Right,13
"RWB, RM, RB",Osama Yousef Al-Khalaf,62,26,176,Al Fayha,Pro League,61,75.0,46.0,59.0,62.0,53.0,68.0,Right,8
"LWB, LB, CM",Ellis Carlo Iandolo,62,25,186,Colchester United,League Two,60,72.0,53.0,59.0,60.0,55.0,73.0,Left,9
"RM, ST",Trent Buhagiar,62,25,178,Newcastle Jets,A-League,55,91.0,58.0,51.0,61.0,26.0,66.0,Right,7
CB,Muteb Abdullah Al Mufarrij,62,26,182,Al Hilal,Pro League,44,62.0,26.0,43.0,50.0,63.0,64.0,Left,12
"ST, CAM, RW",Jack Aitchison,62,23,180,Exeter City,League One,60,81.0,61.0,57.0,63.0,25.0,49.0,Right,11
"RW, RM, LWB",Luke James Molyneux,62,25,180,Doncaster Rovers,League Two,65,81.0,58.0,55.0,64.0,40.0,60.0,Left,5
"LB, LWB",Denver Jay Hume,62,24,177,Portsmouth,League One,61,82.0,37.0,52.0,62.0,55.0,59.0,Left,11
CM,Dylan Billy Watts,62,26,178,Shamrock Rovers,Premier Division,63,53.0,57.0,62.0,64.0,56.0,56.0,Right,9
"ST, LM, RM",Esmiraldo Sá da Silva,62,25,184,Vizela,Liga Portugal,65,69.0,63.0,53.0,62.0,28.0,53.0,Right,8
"RWB, RB",Tyrell Warren,62,24,183,Barrow,League Two,57,68.0,31.0,50.0,57.0,59.0,69.0,Right,12
RM,Dylan Pierias,62,23,175,Western Sydney Wanderers,A-League,64,87.0,40.0,51.0,65.0,50.0,63.0,Right,6
"LM, ST",Bilal Njie,62,25,184,Haugesund,Eliteserien,64,87.0,58.0,50.0,65.0,26.0,55.0,Right,8
CB,Wyatt Omsberg,62,27,193,Chicago Fire,Major League Soccer,28,39.0,24.0,40.0,34.0,63.0,71.0,Right,7
"CB, LB, CDM",Mohammed Sangare,62,24,191,Livingston,Premiership,60,61.0,49.0,54.0,58.0,57.0,77.0,Left,13
"CAM, RM, ST",段刘愚,62,24,176,Wuhan Three Towns,Super League,63,78.0,54.0,63.0,63.0,40.0,61.0,Right,12
"CM, CDM",Mehdi Boudjemaa,62,25,182,Hatayspor,Super Lig,68,68.0,46.0,59.0,67.0,62.0,68.0,Right,14
GK,Conor Kearns,62,25,188,Shelbourne,Premier Division,7,,,,,,,Right,64
CM,Miguel Marí Sánchez,62,26,185,Eldense,La Liga 2,63,60.0,51.0,64.0,64.0,50.0,50.0,Right,12
CB,Mohammed Ali Shaker Ali Almahri,62,26,187,Al Ain,Pro League,37,54.0,27.0,39.0,42.0,62.0,70.0,Right,8
GK,Min Ki Jeong,62,27,190,Jeonbuk Motors,K League 1,11,,,,,,,Right,65
"CDM, CM",Brian Anunga,62,26,180,Nashville SC,Major League Soccer,50,59.0,40.0,58.0,56.0,56.0,68.0,Right,13
"CB, RB",Nader Abdullah Al Sharari,62,27,181,Al Shabab,Pro League,31,70.0,25.0,44.0,42.0,61.0,70.0,Right,13
ST,Emanuel Mercado,62,26,174,Caracas,Primera Division,65,69.0,65.0,46.0,62.0,22.0,56.0,Right,5
ST,Louis George Appéré,62,24,185,Northampton Town,League One,61,73.0,60.0,58.0,62.0,39.0,74.0,Right,14
"CB, CDM",Joshua Laws,62,25,185,Grasshopper,Super League,48,61.0,34.0,52.0,52.0,61.0,70.0,Left,6
"RWB, RM",Herman Johansson,62,25,190,Mjällby,Allsvenskan,65,67.0,54.0,58.0,63.0,52.0,71.0,Right,8
ST,Felix Higl,62,26,194,Ulm,3. Liga,61,64.0,59.0,56.0,58.0,27.0,71.0,Left,13
ST,Samy Baghdadi,62,25,181,Dunkerque,Ligue 2,62,65.0,61.0,58.0,61.0,22.0,58.0,Right,15
CB,Burak Bekaroğlu,62,26,185,Hatayspor,Super Lig,35,55.0,27.0,42.0,44.0,63.0,66.0,Right,7
"CAM, CM",Edoardo Duca,62,26,178,Modena,Serie B,63,67.0,53.0,58.0,64.0,42.0,59.0,Right,9
CM,Ryan Ferhaoui,62,26,183,Laval,Ligue 2,62,63.0,56.0,63.0,62.0,56.0,61.0,Right,10
RB,Sandro Plechaty,62,25,177,Rot-Weiss Essen,3. Liga,61,76.0,56.0,57.0,62.0,56.0,64.0,Right,6
GK,Erhan Erentürk,62,28,190,Sivasspor,Super Lig,6,,,,,,,Right,65
"ST, LM",Ajdin Zeljković,62,25,181,Värnamo,Allsvenskan,64,76.0,60.0,55.0,63.0,31.0,61.0,Right,9
"CB, LWB",Abdelkarim Mammar Chaouche,62,26,184,Degerfors,Allsvenskan,53,77.0,48.0,50.0,55.0,60.0,70.0,Left,15
RM,Lucas Fabrizio Lopez,62,25,179,Barracas Central,Liga Profesional,59,68.0,50.0,59.0,61.0,59.0,56.0,Left,9
CM,Gonzalo Silva,62,23,173,Colón,Liga Profesional,62,67.0,58.0,65.0,64.0,51.0,48.0,Right,5
CDM,Patryk Sikora,62,23,187,Ruch Chorzów,Ekstraklasa,54,70.0,51.0,54.0,55.0,60.0,66.0,Left,8
ST,Zachary Hadji,62,26,183,Stade Lausanne-Ouchy,Super League,63,58.0,63.0,54.0,62.0,20.0,62.0,Right,11
CB,Lavdrim Hajrulahu,62,25,187,Stade Lausanne-Ouchy,Super League,34,51.0,29.0,42.0,43.0,60.0,77.0,Right,5
CDM,Valon Hamdiu,62,25,187,Stade Lausanne-Ouchy,Super League,64,65.0,44.0,53.0,63.0,57.0,73.0,Right,11
ST,Imad Rondić,62,24,190,Widzew Lodz,Ekstraklasa,60,63.0,62.0,43.0,58.0,28.0,66.0,Left,12
GK,Alessandro Farroni,62,25,186,Bari 1908,Serie B,10,,,,,,,Left,65
GK,Stefano Minelli,62,29,186,FeralpiSalò,Serie B,11,,,,,,,Left,62
"CDM, CM",Gregory Sloggett,62,26,188,Dundalk,Premier Division,59,38.0,51.0,58.0,57.0,58.0,69.0,Right,7
GK,Jack Alexander Stevens,62,25,188,Cambridge United,League One,13,,,,,,,Right,62
"CDM, CM",Kieran Thomas Green,62,26,184,Grimsby Town,League Two,55,62.0,45.0,52.0,57.0,57.0,70.0,Right,10
"LB, LWB",Jamie Robson,62,25,173,Forest Green Rovers,League Two,60,79.0,32.0,54.0,63.0,54.0,61.0,Left,9
"RB, CB",Dominic Archie Bernard,62,26,180,Forest Green Rovers,League Two,57,73.0,37.0,50.0,58.0,59.0,70.0,Right,10
"CM, CDM",Armani George Little,62,26,175,AFC Wimbledon,League Two,63,78.0,61.0,62.0,66.0,51.0,56.0,Right,11
ST,Elliott Ricardo Wignal List,62,26,174,Stevenage,League One,61,92.0,61.0,51.0,64.0,28.0,56.0,Right,9
GK,Mike Hauptmeijer,62,26,190,PEC Zwolle,Eredivisie,19,,,,,,,Right,58
"RB, LB",Robbie McKenzie,62,24,184,Gillingham,League Two,52,67.0,47.0,53.0,54.0,60.0,72.0,Right,8
CB,Ruon Kuk Tongyik,62,26,185,Western Sydney Wanderers,A-League,64,62.0,26.0,39.0,58.0,61.0,75.0,Right,9
CM,Jacob Christian Maddox,62,24,179,Forest Green Rovers,League Two,64,71.0,55.0,61.0,66.0,54.0,58.0,Right,9
GK,Niklas Klinger,62,27,187,VfL Wolfsburg,Bundesliga,8,,,,,,,Right,59
"LB, CB",Darragh John Leahy,62,25,177,Dundalk,Premier Division,60,63.0,50.0,57.0,58.0,58.0,66.0,Left,7
"RB, CM, RWB",강윤성 康尹宋,62,26,172,Daejeon Citizen,K League 1,54,63.0,47.0,58.0,57.0,57.0,61.0,Right,15
GK,Jean Louchet,62,27,192,Valenciennes,Ligue 2,9,,,,,,,Right,62
RB,James Andrew Gibbons,62,25,175,Bristol Rovers,League One,58,71.0,43.0,57.0,62.0,58.0,64.0,Right,6
"CB, CDM",Quentin Bena,62,25,185,Dinamo Bucureşti,Liga 1,59,73.0,49.0,52.0,58.0,59.0,71.0,Right,6
GK,Nelson Federico Insfrán,62,28,179,Gimnasia La Plata,Liga Profesional,11,,,,,,,Right,63
ST,Gerard Garner,62,24,183,Barrow,League Two,62,70.0,60.0,48.0,62.0,23.0,66.0,Left,6
"CDM, CM",Jack James Earing,62,24,182,Walsall,League Two,61,69.0,59.0,62.0,62.0,57.0,66.0,Right,6
"ST, RM",Connor Shields,62,25,179,Chennaiyin,Super League,63,76.0,60.0,56.0,63.0,38.0,63.0,Right,6
"CDM, CM",Thomas White,62,26,178,Barrow,League Two,60,63.0,53.0,58.0,62.0,57.0,65.0,Right,14
CB,Tobias Carlsson,62,27,187,Sirius,Allsvenskan,33,53.0,26.0,44.0,44.0,63.0,68.0,Right,15
"CDM, CB",Salem Ali Al Hajri,62,27,183,,,50,58.0,37.0,54.0,55.0,62.0,66.0,Right,12
CB,Remigiusz Szywacz,62,27,187,Ruch Chorzów,Ekstraklasa,35,60.0,29.0,39.0,41.0,62.0,69.0,Left,12
"CB, LB",Ivaylo Markov,62,26,190,UTA Arad,Liga 1,48,55.0,31.0,42.0,51.0,62.0,70.0,Left,7
"CB, RB",Artur Craciun,62,25,193,Puszcza Niepołomice,Ekstraklasa,31,60.0,41.0,40.0,43.0,62.0,66.0,Right,8
GK,Davor Blažević,62,30,190,Hammarby,Allsvenskan,12,,,,,,,Right,63
CB,Hampus Zackrisson,62,28,189,Varberg BoIS,Allsvenskan,52,52.0,48.0,52.0,55.0,60.0,71.0,Right,8
CB,Krystian Nowak,62,29,188,Bohemians,Premier Division,52,54.0,42.0,50.0,51.0,60.0,69.0,Right,6
CM,Hiram Kojo Kwarteng Boateng,62,27,183,Mansfield Town,League Two,64,66.0,50.0,60.0,64.0,60.0,76.0,Left,10
"CM, CDM",Callum Jason Noel Camps,62,27,180,Stockport County,League Two,63,67.0,59.0,61.0,64.0,57.0,65.0,Right,11
"CB, LB",Thomas Albert Dallison-Lisbon,62,27,193,Colchester United,League Two,48,45.0,26.0,45.0,47.0,60.0,76.0,Left,15
"CDM, CM, CB",Jordan McGhee,62,26,185,Dundee,Premiership,58,54.0,53.0,55.0,58.0,62.0,70.0,Right,10
"CM, CDM",Alex Nicholas Gilliead,62,27,183,Bradford City,League Two,64,73.0,55.0,58.0,64.0,56.0,71.0,Right,10
GK,Joel Coleman,62,27,198,Bolton Wanderers,League One,17,,,,,,,Right,62
